,BER_SPO1/18/11,OSNR_SPO1/18/11,BER_SPO2/18/11,OSNR_SPO2/18/11,InputPower_Ampli1,OutputPower_Ampli1,InputPower_Ampli2,OutputPower_Ampli2,InputPower_Ampli3,OutputPower_Ampli3,InputPower_Ampli4,OutputPower_Ampli4,Failure
1623394635,2.14e-08,38.525,8.73e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394638,1.72e-08,38.6,8.68e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394641,2.17e-08,38.5,8.61e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394644,2.16e-08,38.5,8.66e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394647,2.1e-08,38.6,8.69e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394650,2.17e-08,38.5,8.69e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394651,2.1774999999999998e-08,38.5,8.6625e-07,23.474999999999998,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394654,2.2e-08,38.5,8.58e-07,23.7,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394657,2.13e-08,38.6,8.54e-07,23.3,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394660,2.16e-08,38.6,8.55e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394663,2.22e-08,38.6,8.53e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394664,2.225e-08,38.575,8.5425e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394667,2.24e-08,38.5,8.58e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394670,2.14e-08,38.5,8.58e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394673,2.11e-08,38.6,8.54e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394676,2.17e-08,37.3,8.53e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394679,2.08e-08,38.6,8.59e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394680,2.1025e-08,38.6,8.58e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394683,2.17e-08,38.6,8.55e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394686,2.25e-08,38.6,8.46e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394689,2.19e-08,38.6,8.48e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394692,2.15e-08,37.6,8.54e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394696,2.11e-08,37.8,8.47e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394699,2.13e-08,38.6,8.48e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394702,2.24e-08,38.6,8.48e-07,23.3,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394705,2.2e-08,38.6,8.49e-07,23.7,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394708,2.24e-08,38.5,8.46e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394709,2.2249999999999997e-08,38.525,8.43e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394712,2.18e-08,38.6,8.34e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394715,2.19e-08,37.3,8.36e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394718,2.22e-08,38.6,8.39e-07,23.4,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394721,2.3e-08,37.3,8.28e-07,23.3,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394724,2.21e-08,38.6,8.25e-07,23.6,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394725,2.075e-08,38.6,8.2475e-07,23.575000000000003,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394728,1.67e-08,38.6,8.24e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
1623394731,2.22e-08,38.6,8.27e-07,23.5,-23.0,0.7,-15.5,0.4,-16.7,0.8,-22.9,0.7,0.0
